IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
140.238.54.164,2052,2052,false,NRT,Asia Pacific,Tokyo,74,9.70
158.101.144.189,2052,2052,false,NRT,Asia Pacific,Tokyo,104,9.69
140.238.54.184,2095,2095,false,NRT,Asia Pacific,Tokyo,74,9.69
158.101.149.71,2083,2083,true,NRT,Asia Pacific,Tokyo,170,9.69
140.238.53.190,80,80,false,NRT,Asia Pacific,Tokyo,89,9.69
140.238.58.42,2095,2095,false,NRT,Asia Pacific,Tokyo,71,9.69
131.186.36.248,2096,2096,true,NRT,Asia Pacific,Tokyo,162,9.69
168.138.215.188,8443,8443,true,NRT,Asia Pacific,Tokyo,99,9.67
140.238.32.184,2095,2095,false,NRT,Asia Pacific,Tokyo,80,9.67
129.159.245.30,443,443,true,FRA,Europe,Frankfurt,183,9.67
150.230.217.63,8080,8080,false,NRT,Asia Pacific,Tokyo,70,9.67
131.186.59.94,2096,2096,true,NRT,Asia Pacific,Tokyo,124,9.67
158.101.155.115,2087,2087,true,NRT,Asia Pacific,Tokyo,74,9.67
158.179.180.109,8880,8880,false,NRT,Asia Pacific,Tokyo,68,9.66
140.238.34.208,2086,2086,false,NRT,Asia Pacific,Tokyo,75,9.66
141.147.191.132,2096,2096,true,NRT,Asia Pacific,Tokyo,176,9.66
152.70.123.225,8443,443,true,SJC,North America,San Jose,216,9.65
168.138.217.146,2082,2082,false,NRT,Asia Pacific,Tokyo,70,9.65
141.147.110.158,443,443,true,FRA,Europe,Frankfurt,198,9.65
140.238.33.165,2087,2087,true,NRT,Asia Pacific,Tokyo,160,9.65
150.230.105.53,2086,2086,false,NRT,Asia Pacific,Tokyo,71,9.64
140.238.46.138,2095,2095,false,NRT,Asia Pacific,Tokyo,82,9.63
140.238.46.138,80,80,false,NRT,Asia Pacific,Tokyo,77,9.63
138.3.212.162,2096,2096,true,NRT,Asia Pacific,Tokyo,93,9.62
140.238.32.238,80,80,false,NRT,Asia Pacific,Tokyo,85,9.62
141.147.182.70,2052,2052,false,NRT,Asia Pacific,Tokyo,71,9.62
141.147.165.179,2083,2083,true,NRT,Asia Pacific,Tokyo,192,9.62
168.138.206.68,2096,2096,true,NRT,Asia Pacific,Tokyo,102,9.61
141.147.167.44,2082,2082,false,NRT,Asia Pacific,Tokyo,71,9.61
158.101.146.165,8443,8443,true,NRT,Asia Pacific,Tokyo,81,9.61
150.230.217.63,2053,2053,true,NRT,Asia Pacific,Tokyo,71,9.61
152.67.136.138,443,443,true,FRA,Europe,Frankfurt,177,9.61
152.67.250.155,443,443,true,SJC,North America,San Jose,187,9.60
158.179.178.142,8880,8880,false,NRT,Asia Pacific,Tokyo,82,9.60
141.147.164.54,2087,2087,true,NRT,Asia Pacific,Tokyo,155,9.60
168.138.212.74,2096,2096,true,NRT,Asia Pacific,Tokyo,72,9.60
158.101.146.203,2083,2083,true,NRT,Asia Pacific,Tokyo,200,9.59
141.147.79.216,443,443,true,FRA,Europe,Frankfurt,192,9.59
168.138.206.109,80,80,false,NRT,Asia Pacific,Tokyo,68,9.59
158.101.155.115,2082,2082,false,NRT,Asia Pacific,Tokyo,69,9.59
158.101.154.70,2087,2087,true,NRT,Asia Pacific,Tokyo,147,9.59
131.186.63.35,2087,2087,true,NRT,Asia Pacific,Tokyo,97,9.58
158.179.183.2,8880,8880,false,NRT,Asia Pacific,Tokyo,78,9.58
141.147.166.95,2095,2095,false,NRT,Asia Pacific,Tokyo,70,9.58
158.101.149.81,8080,8080,false,NRT,Asia Pacific,Tokyo,93,9.57
140.238.54.166,8443,8443,true,NRT,Asia Pacific,Tokyo,118,9.57
141.148.239.116,443,443,true,FRA,Europe,Frankfurt,209,9.57
141.147.185.149,2096,2096,true,NRT,Asia Pacific,Tokyo,247,9.57
140.83.35.198,2083,2083,true,NRT,Asia Pacific,Tokyo,98,9.57
168.138.214.62,2086,2086,false,NRT,Asia Pacific,Tokyo,71,9.56
168.138.212.175,2087,2087,true,NRT,Asia Pacific,Tokyo,77,9.56
150.230.108.135,2095,2095,false,NRT,Asia Pacific,Tokyo,71,9.56
131.186.35.189,8443,8443,true,NRT,Asia Pacific,Tokyo,149,9.56
150.230.108.135,8880,8880,false,NRT,Asia Pacific,Tokyo,70,9.55
158.101.157.173,2086,2086,false,NRT,Asia Pacific,Tokyo,72,9.55
168.138.212.74,8443,8443,true,NRT,Asia Pacific,Tokyo,77,9.55
140.238.39.87,80,80,false,NRT,Asia Pacific,Tokyo,74,9.54
150.230.220.232,80,80,false,NRT,Asia Pacific,Tokyo,67,9.54
158.179.183.2,2096,2096,true,NRT,Asia Pacific,Tokyo,241,9.54
140.238.60.177,2087,2087,true,NRT,Asia Pacific,Tokyo,77,9.54
168.138.200.155,2083,2083,true,NRT,Asia Pacific,Tokyo,72,9.53
158.101.150.126,2082,2082,false,NRT,Asia Pacific,Tokyo,90,9.53
141.147.164.54,8443,8443,true,NRT,Asia Pacific,Tokyo,248,9.52
140.238.44.118,2053,2053,true,NRT,Asia Pacific,Tokyo,101,9.52
141.147.41.38,443,443,true,FRA,Europe,Frankfurt,179,9.51
158.179.188.7,80,80,false,NRT,Asia Pacific,Tokyo,69,9.50
131.186.62.26,2052,2052,false,NRT,Asia Pacific,Tokyo,69,9.49
168.138.214.62,2052,2052,false,NRT,Asia Pacific,Tokyo,71,9.49
140.238.32.184,8080,8080,false,NRT,Asia Pacific,Tokyo,74,9.49
140.238.46.138,8880,8880,false,NRT,Asia Pacific,Tokyo,70,9.49
158.179.189.235,8880,8880,false,NRT,Asia Pacific,Tokyo,71,9.49
168.138.198.202,2053,2053,true,NRT,Asia Pacific,Tokyo,74,9.49
150.230.217.63,2052,2052,false,NRT,Asia Pacific,Tokyo,75,9.48
140.238.41.253,8880,8880,false,NRT,Asia Pacific,Tokyo,70,9.48
140.238.48.97,80,80,false,NRT,Asia Pacific,Tokyo,77,9.48
158.179.178.145,2052,2052,false,NRT,Asia Pacific,Tokyo,69,9.48
141.147.183.96,8880,8880,false,NRT,Asia Pacific,Tokyo,71,9.47
140.238.48.45,2082,2082,false,NRT,Asia Pacific,Tokyo,71,9.47
158.101.159.212,2096,2096,true,NRT,Asia Pacific,Tokyo,202,9.47
132.145.113.148,2087,2087,true,NRT,Asia Pacific,Tokyo,109,9.47
140.238.33.94,2096,2096,true,NRT,Asia Pacific,Tokyo,142,9.47
141.147.164.153,2086,2086,false,NRT,Asia Pacific,Tokyo,68,9.47
131.186.47.255,2083,2083,true,NRT,Asia Pacific,Tokyo,93,9.47
140.238.39.87,2052,2052,false,NRT,Asia Pacific,Tokyo,69,9.47
141.144.239.207,443,443,true,EWR,North America,Newark,214,9.47
141.147.178.202,2087,2087,true,NRT,Asia Pacific,Tokyo,219,9.46
158.101.154.70,2095,2095,false,NRT,Asia Pacific,Tokyo,73,9.46
141.147.182.76,2095,2095,false,NRT,Asia Pacific,Tokyo,88,9.46
140.238.33.150,2095,2095,false,NRT,Asia Pacific,Tokyo,72,9.46
168.138.205.195,2083,2083,true,NRT,Asia Pacific,Tokyo,94,9.45
168.138.198.202,2096,2096,true,NRT,Asia Pacific,Tokyo,73,9.45
130.162.187.188,443,443,true,FRA,Europe,Frankfurt,221,9.44
158.179.180.109,2086,2086,false,NRT,Asia Pacific,Tokyo,70,9.44
140.238.62.12,2096,2096,true,NRT,Asia Pacific,Tokyo,138,9.44
132.145.120.115,2083,2083,true,NRT,Asia Pacific,Tokyo,70,9.43
158.101.149.71,2053,2053,true,NRT,Asia Pacific,Tokyo,165,9.43
168.138.215.188,2053,2053,true,NRT,Asia Pacific,Tokyo,93,9.42
141.147.162.71,8880,8880,false,NRT,Asia Pacific,Tokyo,71,9.42
140.238.61.78,2053,2053,true,NRT,Asia Pacific,Tokyo,133,9.41
158.179.186.251,2052,2052,false,NRT,Asia Pacific,Tokyo,72,9.41
131.186.35.189,2082,2082,false,NRT,Asia Pacific,Tokyo,72,9.41
131.186.56.188,2082,2082,false,NRT,Asia Pacific,Tokyo,69,9.41
138.3.212.162,80,80,false,NRT,Asia Pacific,Tokyo,69,9.41
140.238.33.165,2053,2053,true,NRT,Asia Pacific,Tokyo,71,9.41
140.238.33.150,2082,2082,false,NRT,Asia Pacific,Tokyo,74,9.41
141.144.200.106,443,443,true,FRA,Europe,Frankfurt,172,9.41
168.138.206.68,2053,2053,true,NRT,Asia Pacific,Tokyo,70,9.40
140.238.54.166,2087,2087,true,NRT,Asia Pacific,Tokyo,73,9.40
140.238.61.224,80,80,false,NRT,Asia Pacific,Tokyo,70,9.39
158.179.189.235,2087,2087,true,NRT,Asia Pacific,Tokyo,71,9.39
